S. No.,Category,State/UT,Total Number of Criminal Cases Registered during the year,Police Personnel Arrested,Cases Chargesheeted,Police Personnel Chargesheeted,Police Personnel whose Cases were withdrawn/ Disposed Off,Police Personnel whose Trials were Completed,Police Personnel Convicted,Police Personnel Acquitted,Year,Number of Cases - Registered,Number of Cases - Quashed/Stayed by Courts,Number of Cases - Chargesheeted,Number of Cases - Final Report Submitted,Number of Police Personel - Arrested,Number of Police Personel - Chargesheeted,Number of Police Personel - Cases Withdrawn/Disposed Off,Number of Police Personel - Trials were Completed,Number of Police Personel - Convicted,Number of Police Personel - Acquitted or Discharged
1,State,Andhra Pradesh,100.0,36.0,28.0,29.0,5.0,8.0,0.0,8.0,2016,,,,,,,,,,
2,State,Arunachal Pradesh,24.0,10.0,13.0,13.0,0.0,6.0,5.0,1.0,2016,,,,,,,,,,
3,State,Assam,37.0,18.0,8.0,8.0,1.0,0.0,0.0,0.0,2016,,,,,,,,,,
4,State,Bihar,43.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
5,State,Chhattisgarh,65.0,26.0,32.0,38.0,1.0,1.0,0.0,1.0,2016,,,,,,,,,,
6,State,Goa,20.0,11.0,8.0,8.0,0.0,1.0,0.0,1.0,2016,,,,,,,,,,
7,State,Gujarat,130.0,131.0,91.0,105.0,2.0,3.0,0.0,3.0,2016,,,,,,,,,,
8,State,Haryana,34.0,41.0,18.0,26.0,11.0,0.0,0.0,0.0,2016,,,,,,,,,,
9,State,Himachal Pradesh,11.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
10,State,Jammu & Kashmir,29.0,22.0,15.0,17.0,1.0,0.0,0.0,0.0,2016,,,,,,,,,,
11,State,Jharkhand,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
12,State,Karnataka,63.0,23.0,16.0,16.0,8.0,1.0,0.0,1.0,2016,,,,,,,,,,
13,State,Kerala,171.0,50.0,49.0,42.0,16.0,0.0,0.0,0.0,2016,,,,,,,,,,
14,State,Madhya Pradesh,66.0,44.0,61.0,65.0,4.0,1.0,1.0,0.0,2016,,,,,,,,,,
15,State,Maharashtra,487.0,388.0,196.0,209.0,37.0,24.0,20.0,4.0,2016,,,,,,,,,,
16,State,Manipur,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
17,State,Meghalaya,265.0,2.0,110.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
18,State,Mizoram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
19,State,Nagaland,12.0,11.0,4.0,5.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
20,State,Odisha,64.0,35.0,28.0,25.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
21,State,Punjab,88.0,70.0,16.0,22.0,7.0,10.0,1.0,9.0,2016,,,,,,,,,,
22,State,Rajasthan,158.0,30.0,33.0,31.0,1.0,1.0,0.0,1.0,2016,,,,,,,,,,
23,State,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
24,State,Tamil Nadu,114.0,57.0,41.0,42.0,4.0,2.0,1.0,1.0,2016,,,,,,,,,,
25,State,Telangana,57.0,33.0,29.0,29.0,1.0,0.0,0.0,0.0,2016,,,,,,,,,,
26,State,Tripura,10.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
27,State,Uttar Pradesh,315.0,187.0,108.0,182.0,0.0,2.0,0.0,2.0,2016,,,,,,,,,,
28,State,Uttarakhand,7.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
29,State,West Bengal,9.0,3.0,18.0,18.0,1.0,1.0,0.0,1.0,2016,,,,,,,,,,
30,UT,A & N Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
31,UT,Chandigarh,13.0,14.0,14.0,16.0,0.0,12.0,3.0,9.0,2016,,,,,,,,,,
32,UT,D&N Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
33,UT,Daman & Diu,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
34,UT,Delhi,136.0,42.0,2.0,2.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
35,UT,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
36,UT,Puducherry,96.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,2016,,,,,,,,,,
1,State,Andhra Pradesh,,,,,,,,,2017,164.0,0.0,344.0,95.0,103.0,101.0,2.0,61.0,0.0,61.0
2,State,Arunachal Pradesh,,,,,,,,,2017,9.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0
3,State,Assam,,,,,,,,,2017,8.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
4,State,Bihar,,,,,,,,,2017,4.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5,State,Chhattisgarh,,,,,,,,,2017,20.0,0.0,10.0,15.0,0.0,17.0,3.0,99.0,3.0,96.0
6,State,Goa,,,,,,,,,2017,25.0,0.0,2.0,13.0,11.0,11.0,0.0,1.0,0.0,1.0
7,State,Gujarat,,,,,,,,,2017,191.0,10.0,125.0,34.0,178.0,176.0,2.0,23.0,0.0,23.0
8,State,Haryana,,,,,,,,,2017,39.0,0.0,23.0,22.0,0.0,23.0,3.0,4.0,0.0,4.0
9,State,Himachal Pradesh,,,,,,,,,2017,9.0,18.0,21.0,8.0,16.0,16.0,0.0,0.0,0.0,0.0
10,State,Jammu & Kashmir,,,,,,,,,2017,40.0,0.0,52.0,45.0,0.0,28.0,1.0,36.0,1.0,35.0
11,State,Jharkhand,,,,,,,,,2017,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,State,Karnataka,,,,,,,,,2017,45.0,2.0,14.0,25.0,0.0,29.0,2.0,3.0,0.0,3.0
13,State,Kerala,,,,,,,,,2017,114.0,4.0,16.0,55.0,45.0,31.0,8.0,6.0,3.0,3.0
14,State,Madhya Pradesh,,,,,,,,,2017,50.0,0.0,60.0,36.0,0.0,48.0,4.0,264.0,10.0,254.0
15,State,Maharashtra,,,,,,,,,2017,456.0,35.0,237.0,151.0,0.0,232.0,29.0,16.0,11.0,5.0
16,State,Manipur,,,,,,,,,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,State,Meghalaya,,,,,,,,,2017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,State,Mizoram,,,,,,,,,2017,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,State,Nagaland,,,,,,,,,2017,14.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
20,State,Odisha,,,,,,,,,2017,44.0,14.0,23.0,18.0,0.0,12.0,0.0,0.0,0.0,0.0
21,State,Punjab,,,,,,,,,2017,114.0,1.0,26.0,27.0,45.0,38.0,7.0,14.0,4.0,10.0
22,State,Rajasthan,,,,,,,,,2017,169.0,7.0,82.0,57.0,0.0,29.0,1.0,1.0,0.0,1.0
23,State,Sikkim,,,,,,,,,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,State,Tamil Nadu,,,,,,,,,2017,116.0,4.0,23.0,31.0,0.0,23.0,9.0,5.0,1.0,4.0
25,State,Telangana,,,,,,,,,2017,87.0,0.0,18.0,40.0,47.0,44.0,3.0,3.0,0.0,3.0
26,State,Tripura,,,,,,,,,2017,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
27,State,Uttar Pradesh,,,,,,,,,2017,106.0,0.0,36.0,54.0,88.0,81.0,7.0,192.0,92.0,100.0
28,State,Uttarakhand,,,,,,,,,2017,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
29,State,West Bengal,,,,,,,,,2017,23.0,0.0,15.0,0.0,0.0,15.0,2.0,2.0,0.0,2.0
30,Union Territory,A & N Islands,,,,,,,,,2017,8.0,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
31,Union Territory,Chandigarh,,,,,,,,,2017,8.0,0.0,11.0,0.0,0.0,11.0,1.0,5.0,3.0,2.0
32,Union Territory,D&N Haveli,,,,,,,,,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Union Territory,Daman & Diu,,,,,,,,,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Union Territory,Delhi UT,,,,,,,,,2017,13.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
35,Union Territory,Lakshadweep,,,,,,,,,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Union Territory,Puducherry,,,,,,,,,2017,119.0,0.0,63.0,51.0,0.0,2.0,0.0,0.0,0.0,0.0
1,State,Andhra Pradesh,,,,,,,,,2018,97.0,2.0,45.0,5.0,0.0,61.0,0.0,11.0,1.0,10.0
2,State,Arunachal Pradesh,,,,,,,,,2018,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,State,Assam,,,,,,,,,2018,30.0,0.0,5.0,10.0,0.0,5.0,6.0,1.0,0.0,1.0
4,State,Bihar,,,,,,,,,2018,17.0,0.0,11.0,1.0,0.0,63.0,55.0,0.0,0.0,0.0
5,State,Chhattisgarh,,,,,,,,,2018,255.0,2.0,3.0,16.0,19.0,12.0,0.0,4.0,1.0,3.0
6,State,Goa,,,,,,,,,2018,10.0,0.0,0.0,8.0,0.0,9.0,0.0,1.0,0.0,1.0
7,State,Gujarat,,,,,,,,,2018,170.0,4.0,125.0,107.0,174.0,163.0,2.0,10.0,0.0,10.0
8,State,Haryana,,,,,,,,,2018,64.0,0.0,46.0,31.0,0.0,26.0,7.0,2.0,1.0,1.0
9,State,Himachal Pradesh,,,,,,,,,2018,13.0,0.0,5.0,43.0,0.0,9.0,2.0,0.0,0.0,0.0
10,State,Jammu & Kashmir,,,,,,,,,2018,47.0,0.0,0.0,34.0,0.0,40.0,1.0,0.0,0.0,0.0
11,State,Jharkhand,,,,,,,,,2018,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,State,Karnataka,,,,,,,,,2018,92.0,1.0,38.0,20.0,0.0,17.0,5.0,0.0,0.0,0.0
13,State,Kerala,,,,,,,,,2018,97.0,2.0,31.0,12.0,6.0,31.0,1.0,12.0,4.0,8.0
14,State,Madhya Pradesh,,,,,,,,,2018,172.0,0.0,97.0,63.0,18.0,73.0,8.0,376.0,20.0,356.0
15,State,Maharashtra,,,,,,,,,2018,401.0,7.0,197.0,28.0,319.0,197.0,3.0,2.0,2.0,0.0
16,State,Manipur,,,,,,,,,2018,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,State,Meghalaya,,,,,,,,,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,State,Mizoram,,,,,,,,,2018,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
19,State,Nagaland,,,,,,,,,2018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,State,Odisha,,,,,,,,,2018,19.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
21,State,Punjab,,,,,,,,,2018,286.0,6.0,17.0,14.0,0.0,18.0,13.0,16.0,5.0,11.0
22,State,Rajasthan,,,,,,,,,2018,3340.0,2.0,2138.0,1012.0,3.0,26.0,0.0,8.0,1.0,7.0
23,State,Sikkim,,,,,,,,,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,State,Tamil Nadu,,,,,,,,,2018,71.0,1.0,7.0,25.0,26.0,19.0,1.0,3.0,0.0,3.0
25,State,Telangana,,,,,,,,,2018,111.0,0.0,48.0,1.0,0.0,46.0,2.0,0.0,0.0,0.0
26,State,Tripura,,,,,,,,,2018,11.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
27,State,Uttar Pradesh,,,,,,,,,2018,90.0,3.0,32.0,27.0,0.0,46.0,15.0,136.0,5.0,131.0
28,State,Uttarakhand,,,,,,,,,2018,5.0,0.0,2.0,3.0,3.0,0.0,23.0,0.0,0.0,0.0
29,State,West Bengal,,,,,,,,,2018,46.0,27.0,9.0,11.0,0.0,35.0,6.0,1.0,0.0,1.0
30,Union Territory,A & N Islands,,,,,,,,,2018,11.0,0.0,0.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0
31,Union Territory,Chandigarh,,,,,,,,,2018,2.0,0.0,0.0,6.0,1.0,3.0,2.0,3.0,1.0,2.0
32,Union Territory,D&N Haveli,,,,,,,,,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Union Territory,Daman & Diu,,,,,,,,,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Union Territory,Delhi UT,,,,,,,,,2018,7.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
35,Union Territory,Lakshadweep,,,,,,,,,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Union Territory,Puducherry,,,,,,,,,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
